"Confirmed","Deaths","Recovered","day_cont","province_country","day_100_cases","day_100","deaths_to_cases"
19260,490,0,88,"Texas, US",55,33,2.54413291796469
2941,136,737,89,"Argentina",58,31,4.6242774566474
3300,58,1055,89,"South Africa",56,33,1.75757575757576
33686,1225,0,89,"California, US",48,41,3.63652555957965
27059,822,0,89,"Florida, US",53,36,3.03780627517647
19751,507,0,89,"Texas, US",55,34,2.56695863500582
3031,147,840,90,"Argentina",58,32,4.84988452655889
3465,58,1055,90,"South Africa",56,34,1.67388167388167
35465,1282,0,90,"California, US",48,42,3.61483152403778
27869,867,0,90,"Florida, US",53,37,3.11098353008719
20574,533,0,90,"Texas, US",55,35,2.59064839117333
3144,152,872,91,"Argentina",58,33,4.83460559796438
3635,65,1055,91,"South Africa",56,35,1.78817056396149
37344,1421,0,91,"California, US",48,43,3.80516281062554
28309,893,0,91,"Florida, US",53,38,3.15447384224098
21321,556,0,91,"Texas, US",55,36,2.60775760986821
3435,165,919,92,"Argentina",58,34,4.80349344978166
3953,75,1473,92,"South Africa",56,36,1.89729319504174
39561,1533,0,92,"California, US",48,44,3.87502843709714
29648,987,0,92,"Florida, US",53,39,3.32906098219104
22650,604,0,92,"Texas, US",55,37,2.66666666666667
3607,176,976,93,"Argentina",58,35,4.87940116440255
4220,79,1473,93,"South Africa",56,37,1.87203791469194
41355,1621,0,93,"California, US",48,45,3.91971950187402
30533,1046,0,93,"Florida, US",53,40,3.42580159172043
23642,624,0,93,"Texas, US",55,38,2.63937061162338
3780,185,1030,94,"Argentina",58,36,4.89417989417989
4361,86,1473,94,"South Africa",56,38,1.97202476496216
42368,1689,0,94,"California, US",48,46,3.98649924471299
30839,1055,0,94,"Florida, US",53,41,3.42099289860242
24153,638,0,94,"Texas, US",55,39,2.64149381029272
3892,192,1107,95,"Argentina",58,37,4.93319630010277
4546,87,1473,95,"South Africa",56,39,1.91377034755829
43558,1725,0,95,"California, US",48,47,3.96023692547867
31532,1075,0,95,"Florida, US",53,42,3.40923506279335
24967,651,0,95,"Texas, US",55,40,2.60744182320663
4003,197,1140,96,"Argentina",58,38,4.92130901823632
4793,90,1473,96,"South Africa",56,40,1.877738368454
44966,1779,0,96,"California, US",48,48,3.9563225548192
32138,1088,0,96,"Florida, US",53,43,3.38540046051403
25321,666,0,96,"Texas, US",55,41,2.6302278740966
4127,207,1162,97,"Argentina",58,39,5.01574993942331
4996,93,2073,97,"South Africa",56,41,1.86148919135308
46164,1864,0,97,"California, US",48,49,4.03777835542847
32848,1171,0,97,"Florida, US",53,44,3.56490501704822
26357,719,0,97,"Texas, US",55,42,2.72792806465076
4285,214,1192,98,"Argentina",58,40,4.99416569428238
5350,103,2073,98,"South Africa",56,42,1.92523364485981
48747,1946,0,98,"California, US",48,50,3.99204053582785
33193,1218,0,98,"Florida, US",53,45,3.66944837766999
