"province_country","day_100","Confirmed"
"Texas, US",90,90211
"Argentina",88,34159
"South Africa",90,76334
"Andhra Pradesh, India",6,6841
"California, US",98,158961
"Florida, US",93,80109
"Maharashtra, India",6,113445
"Sao Paulo, Brazil",27,190285
"Texas, US",91,93569
"Argentina",89,35552
"South Africa",91,80412
"Andhra Pradesh, India",7,7071
"California, US",99,162798
"Florida, US",94,82719
"Maharashtra, India",7,116752
"Sao Paulo, Brazil",28,191517
"Texas, US",92,97699
"Argentina",90,37510
"South Africa",92,83890
"Andhra Pradesh, India",8,7518
"California, US",100,167086
"Florida, US",95,85926
"Maharashtra, India",8,120504
"Sao Paulo, Brazil",29,192628
"Texas, US",93,101259
"Argentina",91,39570
"South Africa",93,87715
"Andhra Pradesh, India",9,7961
"California, US",101,170862
"Florida, US",96,89748
"Maharashtra, India",9,124331
"Sao Paulo, Brazil",30,211658
"Texas, US",94,105394
"Argentina",92,41204
"South Africa",94,92681
"Andhra Pradesh, India",10,8452
"California, US",102,175213
"Florida, US",97,93797
"Maharashtra, India",10,128205
"Sao Paulo, Brazil",31,211658
"Texas, US",95,109581
"Argentina",93,42785
"South Africa",95,97302
"Andhra Pradesh, India",11,8999
"California, US",103,178546
"Florida, US",98,97291
"Maharashtra, India",11,132075
"Sao Paulo, Brazil",32,219185
"Texas, US",96,112944
"Argentina",94,44931
"South Africa",96,101590
"Andhra Pradesh, India",12,9372
"California, US",104,184765
"Florida, US",99,100217
"Maharashtra, India",12,135796
"Sao Paulo, Brazil",33,221973
"Texas, US",97,117790
"Argentina",95,47203
"South Africa",97,106108
"Andhra Pradesh, India",13,10002
"California, US",105,191477
"Florida, US",100,103503
"Maharashtra, India",13,139010
"Sao Paulo, Brazil",34,229475
"Texas, US",98,122932
"Argentina",96,49851
"South Africa",98,111796
"Andhra Pradesh, India",14,10331
"California, US",106,195925
"Florida, US",101,109014
"Maharashtra, India",14,142900
"Sao Paulo, Brazil",35,238822
"Texas, US",99,128132
"Argentina",97,52457
"South Africa",99,118375
"Andhra Pradesh, India",15,10884
"California, US",107,201112
"Florida, US",102,114018
"Maharashtra, India",15,147741
"Sao Paulo, Brazil",36,248587
"Texas, US",100,134558
"Argentina",98,55343
"South Africa",100,124590
"Andhra Pradesh, India",16,11489
"California, US",108,206844
"Florida, US",103,122960
"Maharashtra, India",16,152765
"Sao Paulo, Brazil",37,258508
"Texas, US",101,140173
"Argentina",99,57744
"South Africa",101,131800
"Andhra Pradesh, India",17,12285
"California, US",109,210584
"Florida, US",104,132545
"Maharashtra, India",17,159133
"Sao Paulo, Brazil",38,265581
"Texas, US",102,145894
"Argentina",100,59933
"South Africa",102,138134
"Andhra Pradesh, India",18,13241
"California, US",110,215296
"Florida, US",105,141075
"Maharashtra, India",18,164626
"Sao Paulo, Brazil",39,271737
"Texas, US",103,150152
"Argentina",101,62268
"South Africa",103,144264
"Andhra Pradesh, India",19,13891
"California, US",111,223646
"Florida, US",106,146341
"Maharashtra, India",19,169883
"Sao Paulo, Brazil",40,275145
"Texas, US",104,156706
"Argentina",102,64530
"South Africa",104,151209
"Andhra Pradesh, India",20,14595
"California, US",112,231232
"Florida, US",107,152434
"Maharashtra, India",20,174761
"Sao Paulo, Brazil",41,281380
"Texas, US",105,163060
"Argentina",103,67197
